UTC Timestamp (Interval Ending),Local Timestamp Eastern Time (Interval Beginning),Local Timestamp Eastern Time (Interval Ending),Local Date,Hour Number,Connecticut Actual Load (MW),Maine Actual Load (MW),New Hampshire Actual Load (MW),Northeast Massachusetts Actual Load (MW),Rhode Island Actual Load (MW),Southeast Massachusetts Actual Load (MW),Vermont Actual Load (MW),Western/Central Massachusetts Actual Load (MW)
1/1/2024 18:00,1/1/2024 12:00,1/1/2024 13:00,1/1/2024,13,2778.332,1488.57,1321.773,2615.947,797.123,1500.403,648.811,1561.259
1/1/2024 19:00,1/1/2024 13:00,1/1/2024 14:00,1/1/2024,14,2871.649,1487.498,1323.347,2576.702,813.053,1497.032,656.391,1569.23
1/1/2024 20:00,1/1/2024 14:00,1/1/2024 15:00,1/1/2024,15,2977.935,1488.014,1352.171,2636.172,830.581,1560.201,688.961,1662.959
1/1/2024 21:00,1/1/2024 15:00,1/1/2024 16:00,1/1/2024,16,3145.774,1532.964,1418.609,2732.401,850.753,1670.12,733.054,1810.351
1/1/2024 22:00,1/1/2024 16:00,1/1/2024 17:00,1/1/2024,17,3405.984,1631.906,1545.288,2933.534,927.269,1835.169,777.692,1997.57
1/1/2024 23:00,1/1/2024 17:00,1/1/2024 18:00,1/1/2024,18,3630.866,1685.102,1636.806,3082.498,974.853,1973.482,796.733,2129.262
1/2/2024 0:00,1/1/2024 18:00,1/1/2024 19:00,1/1/2024,19,3585.794,1641.126,1610.678,3054.421,963.148,1946.847,785.223,2110.577
1/2/2024 1:00,1/1/2024 19:00,1/1/2024 20:00,1/1/2024,20,3511.17,1583.928,1561.205,2998.432,945.412,1895.143,776.77,2052.811
1/2/2024 2:00,1/1/2024 20:00,1/1/2024 21:00,1/1/2024,21,3391.988,1509.212,1494.903,2917.966,916.203,1822.869,753.201,1991.331
1/2/2024 3:00,1/1/2024 21:00,1/1/2024 22:00,1/1/2024,22,3237.461,1412.461,1405.891,2803.114,865.172,1724.301,726.489,1901.426
1/2/2024 4:00,1/1/2024 22:00,1/1/2024 23:00,1/1/2024,23,3014.784,1320.469,1307.146,2648.028,814.207,1585.943,686.802,1779.371
1/2/2024 5:00,1/1/2024 23:00,1/2/2024 0:00,1/1/2024,24,2817.445,1268.548,1228.824,2499.487,769.699,1487.141,646.181,1675.035
1/2/2024 6:00,1/2/2024 0:00,1/2/2024 1:00,1/2/2024,1,2691.755,1250.919,1180.127,2402.235,739.307,1418.158,622.22,1609.843
1/2/2024 7:00,1/2/2024 1:00,1/2/2024 2:00,1/2/2024,2,2640.93,1217.109,1163.591,2343.454,717.596,1375.881,603.437,1577.117
1/2/2024 8:00,1/2/2024 2:00,1/2/2024 3:00,1/2/2024,3,2601.747,1209.701,1157.69,2328.352,710.435,1368.368,597.399,1567.47
1/2/2024 9:00,1/2/2024 3:00,1/2/2024 4:00,1/2/2024,4,2635.927,1233.58,1172.411,2348.083,716.01,1382.088,597.882,1582.907
1/2/2024 10:00,1/2/2024 4:00,1/2/2024 5:00,1/2/2024,5,2726.51,1263.492,1206.64,2423.458,738.96,1437.049,615.678,1641.792
1/2/2024 11:00,1/2/2024 5:00,1/2/2024 6:00,1/2/2024,6,2980.802,1361.393,1311.937,2602.311,806.563,1546.036,659.155,1783.742
1/2/2024 12:00,1/2/2024 6:00,1/2/2024 7:00,1/2/2024,7,3317.623,1509.614,1463.888,2874.55,887.531,1752.002,730.801,1994.823
1/2/2024 13:00,1/2/2024 7:00,1/2/2024 8:00,1/2/2024,8,3578.857,1588.447,1559.203,3114.893,936.623,1854.43,786.84,2119.329
1/2/2024 14:00,1/2/2024 8:00,1/2/2024 9:00,1/2/2024,9,3542.006,1571.178,1560.09,3074.212,935.349,1820.945,739.278,2081.166
1/2/2024 15:00,1/2/2024 9:00,1/2/2024 10:00,1/2/2024,10,3363.22,1495.21,1512.571,3008.86,926.159,1711.614,640.871,1958.696
1/2/2024 16:00,1/2/2024 10:00,1/2/2024 11:00,1/2/2024,11,3218.085,1441.274,1468.864,2940.631,905.464,1618.981,534.958,1862.355
1/2/2024 17:00,1/2/2024 11:00,1/2/2024 12:00,1/2/2024,12,3118.187,1375.335,1436.394,2891.082,893.539,1562.664,468.331,1792.538
1/2/2024 18:00,1/2/2024 12:00,1/2/2024 13:00,1/2/2024,13,3073.083,1366.481,1409.804,2870.571,887.883,1546.958,443.548,1768.865
1/2/2024 19:00,1/2/2024 13:00,1/2/2024 14:00,1/2/2024,14,3111.217,1376.632,1402.247,2866.74,883.685,1579.592,465.213,1784.112
1/2/2024 20:00,1/2/2024 14:00,1/2/2024 15:00,1/2/2024,15,3200.482,1415.099,1415.388,2892.096,886.608,1650.468,543.175,1861.158
1/2/2024 21:00,1/2/2024 15:00,1/2/2024 16:00,1/2/2024,16,3387.623,1491.011,1464.88,2971.773,917.488,1760.795,663.191,2004.983
1/2/2024 22:00,1/2/2024 16:00,1/2/2024 17:00,1/2/2024,17,3651.586,1599.014,1566.176,3134.015,990.552,1935.93,747.515,2176.332
1/2/2024 23:00,1/2/2024 17:00,1/2/2024 18:00,1/2/2024,18,3930.695,1685.277,1660.381,3260.501,1051.441,2068.698,783.864,2299.431
1/3/2024 0:00,1/2/2024 18:00,1/2/2024 19:00,1/2/2024,19,3937.759,1653.982,1645.856,3219.574,1047.49,2066.2,777.523,2281.979
