species_code,genus,species,habit,form,common_name,category
SCAR,Schismus,arabicus,A,GRASS,Arabian schismus,Annual
SCBR2,Scleropogon,brevifolius,P,GRASS,burrograss,Cover
SEBA3,Senna,bauhinioides,P,FORB,twinleaf senna,PerennialForb
SEFL3,Senecio,flaccidus,P,FORB,threadleaf ragwort,PerennialForb
SEFLF,Senecio,flaccidus v. flaccidus,P,FORB,threadleaf ragwort,PerennialForb
SELE6,Setaria,leucopila,P,GRASS,streambed bristlegrass,Cover
SOEL,Solanum,elaeagnifolium,P,FORB,silverleaf nightshade,PerennialForb
SPAI,Sporobolus,airoides,P,GRASS,alkali sacaton,Cover
SPAN3,Sphaeralcea,angustifolia,P,FORB,copper globemallow,PerennialForb
SPCO,Sphaeralcea,coccinea,P,FORB,scarlet globemallow,PerennialForb
SPCO4,Sporobolus,contractus,P,GRASS,spike dropseed,Cover
SPCR,Sporobolus,cryptandrus,P,GRASS,sand dropseed,Cover
SPFE,Sphaeralcea,fendleri,P,FORB,Fendler's globemallow,PerennialForb
SPFL2,Sporobolus,flexuosus,P,GRASS,mesa dropseed,Cover
SPHA,Sphaeralcea,hastulata,P,FORB,spear globemallow,PerennialForb
SPHAE,Sphaeralcea,sp.,,,Unknown,
SPIN2,Sphaeralcea,incana,P,FORB,gray globemallow,PerennialForb
SPNE,Sporobolus,nealleyi,P,GRASS,gyp dropseed,Cover
SPORO,Sporobolus,sp.,,GRASS,Unknown,Cover
TECO,Tetraclea,coulteri,P,FORB,Coulter's wrinklefruit,PerennialForb
THPE4,Thymophylla,pentachaeta,P,FORB,parralena,PerennialForb
TILA2,Tidestromia,lanuginosa,A,FORB,woolly tidestromia,Annual
TOWNS,Townsendia,sp.,,,Unknown,
TRAGI,Tragia,sp.,,,Unknown,
TRBE,Tragus,berteronianus,A,GRASS,spiked bur grass,Annual
TRMU,Tridens,muticus,P,GRASS,slim tridens,Cover
TRNE,Tragia,nepetifolia,P,FORB,catnip noseburn,PerennialForb
TRTE,Tribulus,terrestris,A,FORB,puncturevine,Annual
UNKAF,,,A,FORB,Unknown,Annual
UNKAF1,,,A,FORB,Unknown,Annual
UNKAF2,,,A,FORB,Unknown,Annual
UNKAF3,,,A,FORB,Unknown,Annual
UNKAF4,,,A,FORB,Unknown,Annual
UNKAG,,,A,GRASS,Unknown,Annual
UNKCA,,,,S-SHR,Unknown cactus,PerennialForb
UNKF,,,,FORB,Unknown,
UNKG,,,,GRASS,Unknown,
UNKN,,,,,Unknown,
UNKP,,,P,,Unknown,
UNKP1,,,P,,Unknown,
UNKP2,,,P,,Unknown,
UNKP3,,,P,,Unknown,
UNKPF,,,P,FORB,Unknown,PerennialForb
UNKPF1,,,P,FORB,Unknown,PerennialForb
