ags,year,state,state_name,eligible_voters,number_voters,valid_votes,invalid_votes,turnout,cdu,csu,spd,gruene,fdp,linke_pds,afd,npd,rep,die_rechte,dvu,iii_weg,bf_b,ddd,dg,dns,drp,dsu,dkp,kpd,mlpd,sgp,spad,bsa,bwk,x50plus,ab_2000,ad_demokraten,adf,adm,agfg,apd,appd,aufbruch,b,bge,big,bp,buendnis_c,buendnis21,buergerbewegung,bueso,cbv,chance_2000,cm,deutschland,di_b,die_basis,die_humanisten,die_partei,dm,dp,dpd,du,eap,familie,forum,frauen,freie_waehler,fwd,gartenpartei,gb_bhe,gdp,gesundheitsforschung,graue,gvp,hp,liebe,liga,lkr,menschliche_welt,mg,muendige,naturgesetz,nichtwaehler,oedp,offensive_d,oko_union,partei_der_vernunft,pass,patrioten,pbc,pd_f,pdv,piraten,prg,pro_deutschland,pro_dm,rentner,rrp,schill,ssw,statt_partei,team_todenhoefer,tierschutz,tierschutzallianz,unabhaengige,usd,v_partei3,vaa,violetten,volksabstimmung,volt,zentrum,cdu_csu,far_right,far_left,far_left_w_linke
1013,1953,1,Schleswig-Holstein,125630,111264,107604,3660,0.885648332,0.372088007,0,0.324444564,,0.064432341,,,,,,,,,,,0.002381723,0.007190106,,,0.02077042,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.055750288,,,,,,,,,,0.112713906,,,,0.006435145,,,,,,,,,,,,,,,,,,,,,,,,,,0.000898763,,,,,,,,,,,,0,0.372088007,0.009571829,0.02077042,0.02077042
1014,1953,1,Schleswig-Holstein,72569,65670,64172,1498,0.904931858,0.526237247,0,0.285153038,,0.019932998,,,,,,,,,,,0.000654789,0.006593574,,,0.008771128,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.021790772,,,,,,,,,,0.104202832,,,,0.003015075,,,,,,,,,,,,,,,,,,,,,,,,,,0.000837521,,,,,,,,,,,,0,0.526237247,0.007248363,0.008771128,0.008771128
1015,1953,1,Schleswig-Holstein,106374,94920,92088,2832,0.892323312,0.506668774,0,0.213822166,,0.040507796,,,,,,,,,,,0.001106195,0.009460598,,,0.010029499,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.039749263,,,,,,,,,,0.127697008,,,,0.003750527,,,,,,,,,,,,,,,,,,,,,,,,,,0.017372524,,,,,,,,,,,,0,0.506668774,0.010566793,0.010029499,0.010029499
1016,1953,1,Schleswig-Holstein,69598,61160,59458,1702,0.878760884,0.481049706,0,0.136134729,,0.049166122,,,,,,,,,,,0.000572269,0.005951602,,,0.004561805,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.031294964,,,,,,,,,,0.148201439,,,,0.002305428,,,,,,,,,,,,,,,,,,,,,,,,,,0.11293329,,,,,,,,,,,,0,0.481049706,0.006523872,0.004561805,0.004561805
1017,1953,1,Schleswig-Holstein,63692,56601,54734,1867,0.888667337,0.487305878,0,0.19618028,,0.057772831,,,,,,,,,,,0.000883377,0.016890161,,,0.006908005,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.027048992,,,,,,,,,,0.169837989,,,,0.003038816,,,,,,,,,,,,,,,,,,,,,,,,,,0.00114839,,,,,,,,,,,,0,0.487305878,0.017773538,0.006908005,0.006908005
1018,1953,1,Schleswig-Holstein,88850,78318,75692,2626,0.88146314,0.357708317,0,0.307860262,,0.094231211,,,,,,,,,,,0.00016599,0.005618121,,,0.013879313,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.071605506,,,,,,,,,,0.108940473,,,,0.005771342,,,,,,,,,,,,,,,,,,,,,,,,,,0.000689497,,,,,,,,,,,,0,0.357708317,0.005784111,0.013879313,0.013879313
1019,1953,1,Schleswig-Holstein,90172,80800,78126,2674,0.896065297,0.422487624,0,0.27325495,,0.067970297,,,,,,,,,,,0.00490099,0.010792079,,,0.014282178,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.022933168,,,,,,,,,,0.143428218,,,,0.006027228,,,,,,,,,,,,,,,,,,,,,,,,,,0.000829208,,,,,,,,,,,,0,0.422487624,0.015693069,0.014282178,0.014282178
1020,1953,1,Schleswig-Holstein,53661,46633,45162,1471,0.869029649,0.467394334,0,0.266935432,,0.043895954,,,,,,,,,,,0.000407437,0.005318122,,,0.006454657,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.065725988,,,,,,,,,,0.108699848,,,,0.002873502,,,,,,,,,,,,,,,,,,,,,,,,,,0.000750541,,,,,,,,,,,,0,0.467394334,0.005725559,0.006454657,0.006454657
1021,1953,1,Schleswig-Holstein,42226,36054,35024,1030,0.853834131,0.499140179,0,0.128057913,,0.046458091,,,,,,,,,,,0.000721141,0.006601209,,,0.004604205,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.07350086,,,,,,,,,,0.097215288,,,,0.005020247,,,,,,,,,,,,,,,,,,,,,,,,,,0.110112609,,,,,,,,,,,,0,0.499140179,0.00732235,0.004604205,0.004604205
2022,1953,2,Hamburg,1241880,1085279,1059983,25296,0.873900055,0.358741853,0,0.371710869,,0.100178848,,,,,,,,,,,0,0.015757238,,,0.037113037,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.057241502,,,,,,,,,,0.024079522,,,,0.011868837,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.358741853,0.015757238,0.037113037,0.037113037
