company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,commodityall,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,information,source1,source2,source3,link1,link2,link3
Long Lac Minerals Ltd. ,IAMGOLD Corporation,Quebec Mining Exploration Company (SOQUEM),Silverstack Mines Ltd.,,,Doyon or Silverstack,Cadillac ,Quebec,48.2557,-78.519197,1980,2009,,,,,Gold,Gold,,,,,,,,"Even more companies : Barrick Gold, Cambior, ...The Doyon site was the subject of more intense prospecting in the 1960’s by the prospector Arthur Doyon. In 1972, it became the co-property of Silverstack Mines Company Ltd and of SOQUEM, which carried out exploration works between 1972 and 1975. In 1977, Long Lac Mineral Exploration Ltd (Lac Minerals Ltd) took over Silverstack Mines Ltd, and a drilling survey of 120 holes brought the Doyon deposit into production in February 1980. In 1983, a surface exploration campaign led to the discovery of Doyon West Zones.
The Cadillac-Bousquet region in northwestern Québec has been a productive mining centre for over 100 years and still holds great potential. In 1972, it became the co-property of Silverstack Mines Company Ltd. and the Québec government controlled Soquem Inc., which carried out exploration between 1972 and 1975. In 1975 Long Lac Mineral Exploration Ltd (Lac Minerals Ltd), took over Silverstack’s interest. Commercial open pit mining began at the Doyon Mine in 1980, and while underground mining commenced in 1985, the full transition to a wholly underground operation was completed in early 1989. The Doyon Gold Mine has been a significant producer of gold for the past 30 years having produced over 5 million ounces of gold.
 
In 1986, Cambior Inc. acquired an initial 50% interest in the Doyon Gold Mine and 100% of the Mouska property in connection with the privatisation of most of Soquem’s assets. Cambior became the sole owner of the Doyon Gold Mine by acquiring the remaining 50% interest from Barrick Gold in 1998.
 
Underground exploration at Mouska began in October 1987, pre-production development followed in May 1990 and commercial production commenced in July 1991.  IAMGOLD acquired the Doyon Division including both the Doyon Gold Mine and Mouska Gold Mine through its merger with Cambior in November 2006.
 
The Doyon mine ended operations in December 2009. In the fourth quarter of 2009, the Company approved a program to extend the life of the Mouska Mine to early 2012, through the use of paste backfill produced from the Doyon paste plant.",0,1,1,https://www.mindat.org/loc-256959.html,https://mininglifeonline.net/company-article/doyon-division-gold-mines--qu--bec/3013,https://www.sec.gov/Archives/edgar/data/1203464/000119312514010943/d654919dex991.htm
Canamax Resources Inc.,Hollinger Consolidated Gold Mines,Algoma Exploration and Development Company,Patricia Mines Ltd.,,,Kremzar ,,Ontario,51.05136,-94.24474,1981,1988,,,,,Gold,Gold,,,,,,,,,0,1,1,https://www.mindat.org/loc-261631.html,http://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI42C08SW00007.html,
Global Stone (Ingersoll) Ltd.,Stelco (Steel Company of Canada Ltd.) Steel ,,,,,,Ingersoll,Ontario,43.03784371,-80.88413506,1990,2000,,,,,Lime,Lime,,,,,,,,unclear ownership as for other Ingersoll entry,0,1,1,https://www.northernminer.com/subscribe-login/?id=1000178244,http://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI40P02SW00005.html,
Xstrata Nickel Canada,,,,,,Onaping/Craig,,Ontario,46.6441,-81.3669,1994,2009,,,,,"Nickel, Copper, Cobalt, Platinum, Gold, Silver, Selenium, Tellurium",Nickel,Copper,Cobalt,Platinum,Gold,Silver,Selenium,Tellurium,,0,1,1,https://www.mindat.org/loc-230771.html,https://im-mining.com/2022/05/27/glencore-reveals-bev-mining-fleet-order-for-onaping-depth-all-electric-nickel-copper-mine/,
South-Malartic Exploration Inc.,,,,,,Croinor,Val d'Or,Quebec,48.110195,-77.018181,2004,2005,,,,,Gold,Gold,,,,,,,,p. 21 'history' https://assets.website-files.com/5787b0e39bdd7b7161e7fd98/5dcc7ee1547376573adff622_MQR_2019_AIF.pdf,0,1,1,,,
Hudson Bay Mining and Smelting Co. Ltd. ,Potash Corporation of Saskatchewan (Rocanville Division),Agrium Inc.,,,,Vascoy (Rocanville Division),Vanscoy,Saskatchewan,52.01,-107.08,1971,2014,2015,open,,,"Potash, Salt",Potash,Salt,,,,,,,,0,1,0,,,
COGEMA Resources Inc.,Denison Mines Limited,"OURD (Canada) Co., Ltd. ",AREVA Resources Canada Inc.,,,McClean Lake,McMahon,Saskatchewan,58.261669,-103.8030548,1999,2010,,,,,Uranium,Uranium,,,,,,,,,0,1,0,,,
Dumbarton Mines Ltd.,,,,,,,Bird River,Manitoba,50.46916667,-95.44555556,1922,1974,,,,,"Nickel, Copper",Nickel,Copper,,,,,,,,0,1,0,,,
Hudson Bay Mining and Smelting Co. Ltd. ,,,,,,Flin Flon,Flin Flon ,Manitoba,56.7545,-101.069493,1929,1990,,,,,"Copper, Zinc, Slerium, Tellerium, Gold",Copper,Zinc,Selenium,Tellerium,Gold,,,,,0,1,0,,,
Nystone Chemicals Ltd.,,,,,,Brookfield,Truro,Nova Scotia,45.272512,-63.24060185,1944,2008,,,,,"Barite, Barium, Siderite",Barite,Barium,Siderite,,,,,,"Re-opening of barite mine by Nystone Chemicals, Brookfield, Nova Scotia",0,1,0,,,
