Date,Date and Time,Count,Day of Week,Time
10/31/20,10/31/20 18:30,44,Saturday,6:30pm
10/31/20,10/31/20 19:00,52,Saturday,7:00pm
10/31/20,10/31/20 19:30,48,Saturday,7:30pm
10/31/20,10/31/20 20:00,56,Saturday,8:00pm
10/31/20,10/31/20 20:15,8,Saturday,8:15pm
10/31/21,10/31/21 18:00,8,Sunday,6:00pm
10/31/21,10/31/21 18:30,101,Sunday,6:30pm
10/31/21,10/31/21 19:00,150,Sunday,7:00pm
10/31/21,10/31/21 19:30,98,Sunday,7:30pm
10/31/21,10/31/21 20:00,92,Sunday,8:00pm
10/31/21,10/31/21 20:15,38,Sunday,8:15pm
10/31/22,10/31/22 18:00,0,Monday,6:00pm
10/31/22,10/31/22 18:30,130,Monday,6:30pm
10/31/22,10/31/22 19:00,147,Monday,7:00pm
10/31/22,10/31/22 19:30,110,Monday,7:30pm
10/31/22,10/31/22 20:00,96,Monday,8:00pm
10/31/22,10/31/22 20:15,29,Monday,8:15pm
10/31/23,10/31/23 18:00,48,Tuesday,6:00pm
10/31/23,10/31/23 18:30,116,Tuesday,6:30pm
10/31/23,10/31/23 19:00,178,Tuesday,7:00pm
10/31/23,10/31/23 19:30,120,Tuesday,7:30pm
10/31/23,10/31/23 20:00,84,Tuesday,8:00pm
10/31/23,10/31/23 20:15,24,Tuesday,8:15pm
10/31/24,10/31/24 18:00,34,Thursday,6:00pm
10/31/24,10/31/24 18:30,109,Thursday,6:30pm
10/31/24,10/31/24 19:00,203,Thursday,7:00pm
10/31/24,10/31/24 19:30,141,Thursday,7:30pm
10/31/24,10/31/24 20:00,111,Thursday,8:00pm
10/31/24,10/31/24 20:15,33,Thursday,8:15pm
