Cat_id,Season,Active,Lying,Sitting,Standing,Grooming,Littering,Eating,Scratching,Total,propActive,propLying,propSitting,propStanding,propGrooming,propLittering,propEating,propScratching,Cat_Age,Cat_Sex,BW,BCS,BCS_ord,Housing,Area,Diet,Coat,Owner,Owner_Age,Children,Cat1,Cat2,Dog
Cat25,Summer,11382,140365,345120,55497,34099,48,17171,819,604501,0.018828753,0.232199781,0.57091717,0.0918063,0.056408509,7.94E-05,0.028405247,0.001354836,Mature,Neutered female,5.4,8,Obese,Indoor,Urban,Dry,Short,Owner6,25 - 34 years,No,One,Single,No
Cat26,Summer,25036,200691,184428,107322,37180,52,49284,808,604801,0.041395434,0.331829808,0.304939972,0.177450103,0.061474766,8.60E-05,0.081487961,0.001335977,Junior,Neutered male,4.8,6,Overweight,Indoor Outdoor,Urban,Dry,Short,Owner23,35  - 44 years,Yes,Two,Multi,No
Cat27,Summer,22516,214458,259835,33910,34020,833,37605,1624,604801,0.037228774,0.354592668,0.429620652,0.056068029,0.056249907,0.001377313,0.062177477,0.002685181,Junior,Neutered male,4.6,,,Indoor,Rural,Mix,Short,Owner10,45 - 54 years,No,Two,Multi,No
Cat28,Summer,29230,196113,247667,69138,29669,50,32579,355,604801,0.048329947,0.324260377,0.409501638,0.114315287,0.049055805,8.27E-05,0.053867305,0.00058697,Junior,Neutered female,4.4,7,Heavy,Indoor Outdoor,Urban,Mix,Short,Owner3,25 - 34 years,No,Three,Multi,No
Cat3,Summer,3660,279862,222810,34406,17443,23,42777,220,601201,0.006087814,0.465504881,0.370608166,0.05722878,0.029013591,3.83E-05,0.071152576,0.000365934,Mature,Neutered female,4.2,6,Overweight,Indoor,Urban,Dry,Long,Owner17,25 - 34 years,No,Three,Multi,No
Cat4,Summer,12265,331766,136640,57814,26446,384,38144,1222,604681,0.020283422,0.548662849,0.225970388,0.095610744,0.043735457,0.000635046,0.063081195,0.0020209,Mature,Neutered female,3.4,5,Ideal,Indoor,Urban,Mix,Long,Owner11,25 - 34 years,No,One,Single,No
Cat5,Summer,25583,205173,263442,53800,33305,95,22855,548,604801,0.042299864,0.339240511,0.435584597,0.088954879,0.0550677,0.000157076,0.037789289,0.000906083,Junior,Neutered male,5.5,7,Heavy,Indoor,Urban,Mix,Short,Owner5,25 - 34 years,No,One,Single,Yes
Cat6,Summer,49703,193644,161631,97183,44137,15,57643,845,604801,0.08218075,0.320178042,0.267246582,0.160685912,0.072977723,2.48E-05,0.095309036,0.001397154,Junior,Neutered female,,,,Indoor Outdoor,Rural,Dry,Short,Owner7,25 - 34 years,No,One,Single,No
Cat7,Summer,8308,223250,204014,86663,57152,76,24369,969,604801,0.01373675,0.369129681,0.337324178,0.14329176,0.094497198,0.000125661,0.040292592,0.00160218,Prime,Neutered female,4.3,5,Ideal,Indoor,Urban,Mix,Long,Owner9,55 - 65 years,No,Two,Multi,No
Cat8,Summer,16715,86029,348564,72246,76126,35,1693,3393,604801,0.02763719,0.142243482,0.576328412,0.119454168,0.125869501,5.79E-05,0.002799268,0.00561011,Junior,Neutered male,4.4,,,Indoor Outdoor,Urban,Dry,Short,Owner22,35  - 44 years,No,One,Single,No
Cat9,Summer,16111,255601,96020,156923,28042,133,51708,263,604801,0.026638514,0.422620002,0.158762965,0.259462203,0.046365664,0.000219907,0.08549589,0.000434854,Junior,Neutered female,4.3,6,Overweight,Indoor Outdoor,Urban,Dry,Short,Owner14,35  - 44 years,Yes,Three,Multi,No
Cat1,Winter,15135,374365,53072,59265,20358,48,82317,241,604801,0.02502476,0.618988725,0.087751178,0.097990909,0.033660659,7.94E-05,0.136105926,0.000398478,Junior,Neutered male,5.1,7,Heavy,Indoor Outdoor,Rural,Mix,Short,Owner2,25 - 34 years,No,One,Single,Yes
Cat10,Winter,9700,273587,104538,117416,23649,343,75082,486,604801,0.016038333,0.45235871,0.172846936,0.194139891,0.039102118,0.000567129,0.124143313,0.00080357,Mature,Neutered female,6.4,8,Obese,Indoor Outdoor,Rural,Dry,Short,Owner8,55 - 65 years,No,One,Single,Yes
Cat11,Winter,14004,341708,96447,59363,24505,226,68201,347,604801,0.023154724,0.564992452,0.159468982,0.098152946,0.040517459,0.000373677,0.112766017,0.000573742,Junior,Neutered female,6.1,8,Obese,Indoor Outdoor,Urban,Mix,Short,Owner15,45 - 54 years,No,Two,Multi,No
Cat12,Winter,12380,248417,120399,149189,19269,27,55028,92,604801,0.020469543,0.410741715,0.199072091,0.246674526,0.031860066,4.46E-05,0.090985299,0.000152116,Prime,Neutered male,4.7,6,Overweight,Indoor Outdoor,Urban,Mix,Short,Owner12,25 - 34 years,Yes,Two,Multi,No
Cat13,Winter,14811,371496,69468,61537,20943,26,66474,46,604801,0.024489047,0.614245016,0.114860921,0.101747517,0.034627919,4.30E-05,0.109910533,7.61E-05,Prime,Neutered female,4.1,5,Ideal,Indoor Outdoor,Rural,Dry,Long,Owner16,25 - 34 years,No,One,Single,Yes
Cat14,Winter,2545,69156,423065,54091,53422,12,1291,1219,604801,0.004207996,0.114345049,0.699511079,0.089436029,0.08832988,1.98E-05,0.002134586,0.002015539,Prime,Neutered female,,,,Indoor Outdoor,Urban,Dry,Short,Owner19,35  - 44 years,Yes,Three,Multi,Yes
Cat15,Winter,9143,116333,349004,73139,51697,43,2921,2521,604801,0.015117369,0.192349219,0.577055924,0.120930686,0.085477703,7.11E-05,0.004829688,0.004168313,Prime,Neutered female,5.1,7,Heavy,Indoor Outdoor,Urban,Mix,Short,Owner1,25 - 34 years,No,Two,Multi,Yes
