Family,Binomial,TBL cm,Weight gr,DL mm,Pupil,Dentition,Toxicity & Dangerousness,Reproduction,Common Name
Typhlopidae,Afrotyphlops cuneirostris,,,,vestigial eyes,non-fanged,non-venomous,,Wedgenose Worm Snake
Typhlopidae,Afrotyphlops elegans,,,,vestigial eyes,non-fanged,non-venomous,,Elegant Worm Snake
Typhlopidae,Afrotyphlops fornasinii,,,,vestigial eyes,non-fanged,non-venomous,,Fornasini's Blind Snake
Typhlopidae,Afrotyphlops gierrai,,,,vestigial eyes,non-fanged,non-venomous,,Usambara Spotted Worm Snake
Typhlopidae,Afrotyphlops kaimosae,,,,vestigial eyes,non-fanged,non-venomous,,Kakamega blind snake
Typhlopidae,Afrotyphlops liberiensis,,,,vestigial eyes,non-fanged,non-venomous,,Guinea Blind Snake
Typhlopidae,Afrotyphlops lineolatus,,,,vestigial eyes,non-fanged,non-venomous,,Lineolate Blind Snake
Typhlopidae,Afrotyphlops mucruso,,,,vestigial eyes,non-fanged,non-venomous,,Zambezi Blind Snake
Typhlopidae,Afrotyphlops nanus,,,,vestigial eyes,non-fanged,non-venomous,,Kenyan dwarf blind snake
Typhlopidae,Afrotyphlops nigrocandidus,,,,vestigial eyes,non-fanged,non-venomous,,Bicoloured Blind Snake
Typhlopidae,Afrotyphlops obtusus,,,,vestigial eyes,non-fanged,non-venomous,,Slender Blind Snake
Typhlopidae,Afrotyphlops platyrhynchus,,,,vestigial eyes,non-fanged,non-venomous,,Tanga Worm Snake
Typhlopidae,Afrotyphlops punctatus,,,,vestigial eyes,non-fanged,non-venomous,,Spotted Blind Snake
Typhlopidae,Afrotyphlops rondoensis,,,,vestigial eyes,non-fanged,non-venomous,,Rondo Worm Snake
Typhlopidae,Afrotyphlops rouxestevae,,,,vestigial eyes,,,,
Typhlopidae,Afrotyphlops schlegelii,95,,,vestigial eyes,non-fanged,non-venomous,,Schlegel's Giant Blind Snake
Typhlopidae,Afrotyphlops schmidti,,,,vestigial eyes,non-fanged,non-venomous,,Schmidt’s blind snake
Typhlopidae,Afrotyphlops steinhausi,,,,vestigial eyes,non-fanged,non-venomous,,Steinhaus' Worm Snake
Typhlopidae,Afrotyphlops tanganicanus,,,,vestigial eyes,non-fanged,non-venomous,,Liwale blind snake
